sample_id,session_id,ts,rpm,speed_kph,engine_load_pct,coolant_temp_c,intake_temp_c,maf_gps,throttle_pct,stft_b1_pct,ltft_b1_pct,timing_adv_deg,fuel_press_kpa,o2_b1s1_v
83,3,2018-03-26T18:07:31.019Z,884.0,14.0,,89.0,16.0,7.69,83.5,,,,,
84,3,2018-03-26T18:07:32.038Z,892.0,11.0,,89.0,16.0,7.91,83.5,,,,,
85,3,2018-03-26T18:07:33.059Z,898.0,11.0,,89.0,16.0,7.97,83.5,,,,,
86,3,2018-03-26T18:07:34.020Z,809.0,12.0,,89.0,16.0,7.61,83.5,,,,,
87,3,2018-03-26T18:07:35.008Z,843.0,14.0,,89.0,16.0,9.05,83.5,,,,,
88,3,2018-03-26T18:07:36.059Z,1063.0,18.0,,89.0,17.0,10.61,83.5,,,,,
89,3,2018-03-26T18:07:37.019Z,1065.0,18.0,,89.0,18.0,9.19,83.5,,,,,
90,3,2018-03-26T18:07:38.039Z,1057.0,18.0,,89.0,18.0,8.58,83.5,,,,,
91,3,2018-03-26T18:07:39.059Z,1123.0,19.0,,89.0,18.0,9.27,83.5,,,,,
92,3,2018-03-26T18:07:40.079Z,1321.0,22.0,,89.0,19.0,10.22,83.5,,,,,
93,3,2018-03-26T18:07:41.009Z,1423.0,24.0,,89.0,21.0,12.13,83.5,,,,,
94,3,2018-03-26T18:07:42.059Z,1511.0,26.0,,89.0,21.0,14.55,83.5,,,,,
95,3,2018-03-26T18:07:43.019Z,1625.0,28.0,,89.0,22.0,17.91,83.5,,,,,
96,3,2018-03-26T18:07:44.010Z,1388.0,31.0,,89.0,23.0,22.55,83.5,,,,,
97,3,2018-03-26T18:07:45.059Z,1038.0,32.0,,89.0,19.0,19.88,83.5,,,,,
98,3,2018-03-26T18:07:46.020Z,1222.0,33.0,,89.0,19.0,14.33,83.5,,,,,
99,3,2018-03-26T18:07:47.009Z,1345.0,34.0,,89.0,21.0,13.69,83.5,,,,,
100,3,2018-03-26T18:07:48.059Z,1404.0,38.0,,89.0,21.0,14.94,83.5,,,,,
101,3,2018-03-26T18:07:49.020Z,1475.0,39.0,,89.0,21.0,28.97,83.5,,,,,
102,3,2018-03-26T18:07:50.010Z,1637.0,44.0,,89.0,23.0,44.91,83.5,,,,,
103,3,2018-03-26T18:07:51.059Z,1250.0,48.0,,89.0,24.0,11.99,31.0,,,,,
104,3,2018-03-26T18:07:52.020Z,898.0,48.0,,89.0,19.0,12.74,83.5,,,,,
105,3,2018-03-26T18:07:53.008Z,1074.0,48.0,,89.0,17.0,11.38,83.5,,,,,
106,3,2018-03-26T18:07:54.059Z,1593.0,43.0,,89.0,20.0,27.88,83.5,,,,,
107,3,2018-03-26T18:07:55.020Z,1516.0,41.0,,89.0,23.0,26.58,83.5,,,,,
108,3,2018-03-26T18:07:56.010Z,1455.0,39.0,,89.0,23.0,25.08,83.5,,,,,
109,3,2018-03-26T18:07:57.060Z,1384.0,37.0,,89.0,22.0,24.55,83.5,,,,,
110,3,2018-03-26T18:07:58.048Z,1378.0,37.0,,89.0,21.0,10.02,83.5,,,,,
111,3,2018-03-26T18:07:59.009Z,1353.0,36.0,,90.0,18.0,13.3,83.5,,,,,
112,3,2018-03-26T18:08:00.060Z,1295.0,35.0,,90.0,19.0,22.49,83.5,,,,,
113,3,2018-03-26T18:08:01.050Z,1273.0,34.0,,90.0,21.0,21.08,83.5,,,,,
114,3,2018-03-26T18:08:02.009Z,1253.0,34.0,,90.0,21.0,20.91,83.5,,,,,
115,3,2018-03-26T18:08:03.060Z,1205.0,33.0,,90.0,21.0,20.36,83.5,,,,,
116,3,2018-03-26T18:08:04.018Z,896.0,30.0,,90.0,20.0,19.58,83.5,,,,,
117,3,2018-03-26T18:08:05.069Z,892.0,26.0,,90.0,16.0,8.27,83.5,,,,,
118,3,2018-03-26T18:08:06.058Z,1052.0,25.0,,90.0,14.0,11.02,83.5,,,,,
119,3,2018-03-26T18:08:07.049Z,1358.0,23.0,,90.0,15.0,20.55,83.5,,,,,
120,3,2018-03-26T18:08:08.039Z,1374.0,23.0,,90.0,21.0,12.47,83.5,,,,,
121,3,2018-03-26T18:08:09.028Z,1403.0,24.0,,90.0,18.0,11.72,83.5,,,,,
122,3,2018-03-26T18:08:10.018Z,1469.0,25.0,,90.0,19.0,12.22,83.5,,,,,
123,3,2018-03-26T18:08:11.009Z,1531.0,26.0,,89.0,19.0,12.77,83.5,,,,,
124,3,2018-03-26T18:08:12.088Z,1461.0,25.0,,89.0,20.0,13.36,83.5,,,,,
125,3,2018-03-26T18:08:13.079Z,1389.0,24.0,,89.0,22.0,23.77,83.5,,,,,
126,3,2018-03-26T18:08:14.008Z,1318.0,22.0,,89.0,22.0,16.13,83.5,,,,,
127,3,2018-03-26T18:08:15.028Z,1269.0,22.0,,89.0,21.0,11.69,83.5,,,,,
128,3,2018-03-26T18:08:16.049Z,1203.0,20.0,,89.0,18.0,19.91,83.5,,,,,
129,3,2018-03-26T18:08:17.039Z,1139.0,19.0,,89.0,20.0,18.41,83.5,,,,,
130,3,2018-03-26T18:08:18.030Z,1076.0,18.0,,89.0,21.0,17.19,83.5,,,,,
131,3,2018-03-26T18:08:19.018Z,1009.0,17.0,,89.0,20.0,16.11,83.5,,,,,
132,3,2018-03-26T18:08:20.009Z,949.0,16.0,,89.0,20.0,14.72,83.5,,,,,
133,3,2018-03-26T18:08:21.088Z,936.0,16.0,,89.0,18.0,6.8,83.5,,,,,
134,3,2018-03-26T18:08:22.109Z,979.0,17.0,,89.0,16.0,8.72,83.5,,,,,
135,3,2018-03-26T18:08:23.008Z,1077.0,18.0,,89.0,16.0,8.88,83.5,,,,,
136,3,2018-03-26T18:08:24.088Z,1203.0,21.0,,89.0,17.0,10.19,83.5,,,,,
137,3,2018-03-26T18:08:25.078Z,1314.0,22.0,,89.0,19.0,11.47,83.5,,,,,
138,3,2018-03-26T18:08:26.068Z,1406.0,24.0,,89.0,19.0,12.02,83.5,,,,,
139,3,2018-03-26T18:08:27.088Z,1485.0,25.0,,89.0,20.0,12.58,83.5,,,,,
140,3,2018-03-26T18:08:28.079Z,1552.0,27.0,,89.0,20.0,13.02,83.5,,,,,
141,3,2018-03-26T18:08:29.070Z,1566.0,27.0,,89.0,20.0,13.05,83.5,,,,,
142,3,2018-03-26T18:08:30.059Z,1513.0,27.0,,89.0,20.0,14.47,83.5,,,,,
143,3,2018-03-26T18:08:31.048Z,1463.0,25.0,,89.0,20.0,13.52,83.5,,,,,
144,3,2018-03-26T18:08:32.038Z,1472.0,25.0,,89.0,22.0,25.24,83.5,,,,,
145,3,2018-03-26T18:08:33.028Z,1488.0,25.0,,89.0,20.0,13.66,83.5,,,,,
146,3,2018-03-26T18:08:34.018Z,1449.0,25.0,,89.0,20.0,13.94,83.5,,,,,
147,3,2018-03-26T18:08:35.008Z,1372.0,23.0,,89.0,22.0,23.63,83.5,,,,,
148,3,2018-03-26T18:08:36.058Z,1295.0,22.0,,89.0,23.0,21.77,83.5,,,,,
149,3,2018-03-26T18:08:37.048Z,1233.0,21.0,,89.0,22.0,9.52,83.5,,,,,
150,3,2018-03-26T18:08:38.038Z,1212.0,21.0,,89.0,18.0,10.44,83.5,,,,,
151,3,2018-03-26T18:08:39.028Z,1228.0,21.0,,89.0,19.0,10.41,83.5,,,,,
152,3,2018-03-26T18:08:40.019Z,1247.0,21.0,,89.0,19.0,10.77,83.5,,,,,
153,3,2018-03-26T18:08:41.008Z,1272.0,22.0,,89.0,19.0,10.83,83.5,,,,,
154,3,2018-03-26T18:08:42.088Z,1308.0,22.0,,89.0,19.0,10.8,83.5,,,,,
155,3,2018-03-26T18:08:43.078Z,1336.0,23.0,,89.0,19.0,11.02,83.5,,,,,
156,3,2018-03-26T18:08:44.008Z,1282.0,22.0,,89.0,20.0,20.19,83.5,,,,,
157,3,2018-03-26T18:08:45.059Z,1210.0,21.0,,89.0,22.0,19.83,83.5,,,,,
158,3,2018-03-26T18:08:46.048Z,1140.0,19.0,,89.0,22.0,16.66,83.5,,,,,
159,3,2018-03-26T18:08:47.008Z,1082.0,18.0,,89.0,19.0,9.36,83.5,,,,,
160,3,2018-03-26T18:08:48.088Z,952.0,17.0,,89.0,18.0,16.38,83.5,,,,,
161,3,2018-03-26T18:08:49.048Z,945.0,16.0,,89.0,21.0,14.38,83.5,,,,,
162,3,2018-03-26T18:08:50.038Z,983.0,17.0,,89.0,16.0,8.72,83.5,,,,,
163,3,2018-03-26T18:08:51.088Z,1038.0,18.0,,89.0,17.0,8.33,83.5,,,,,
164,3,2018-03-26T18:08:52.079Z,1107.0,19.0,,89.0,16.0,8.38,83.5,,,,,
165,3,2018-03-26T18:08:53.038Z,1179.0,20.0,,89.0,17.0,8.97,83.5,,,,,
166,3,2018-03-26T18:08:54.029Z,1159.0,20.0,,89.0,18.0,9.58,83.5,,,,,
167,3,2018-03-26T18:08:55.049Z,1158.0,20.0,,89.0,19.0,9.24,83.5,,,,,
168,3,2018-03-26T18:08:56.038Z,1325.0,21.0,,89.0,19.0,9.97,83.5,,,,,
169,3,2018-03-26T18:08:57.000Z,1474.0,25.0,,89.0,21.0,12.63,83.5,,,,,
170,3,2018-03-26T18:08:58.018Z,1807.0,31.0,,89.0,23.0,37.69,83.5,,,,,
171,3,2018-03-26T18:08:59.069Z,2024.0,35.0,,89.0,26.0,20.33,83.5,,,,,
172,3,2018-03-26T18:09:00.059Z,1084.0,35.0,,89.0,20.0,13.91,83.5,,,,,
173,3,2018-03-26T18:09:01.048Z,1281.0,34.0,,89.0,22.0,15.11,83.5,,,,,
174,3,2018-03-26T18:09:02.009Z,1285.0,34.0,,89.0,20.0,10.8,83.5,,,,,
175,3,2018-03-26T18:09:03.058Z,1380.0,35.0,,89.0,20.0,14.05,83.5,,,,,
176,3,2018-03-26T18:09:04.048Z,1414.0,38.0,,89.0,21.0,14.69,83.5,,,,,
177,3,2018-03-26T18:09:05.039Z,1406.0,38.0,,89.0,20.0,12.47,83.5,,,,,
178,3,2018-03-26T18:09:06.088Z,1367.0,37.0,,89.0,21.0,23.47,83.5,,,,,
179,3,2018-03-26T18:09:07.078Z,1328.0,35.0,,89.0,23.0,22.55,83.5,,,,,
180,3,2018-03-26T18:09:08.038Z,1312.0,35.0,,89.0,23.0,9.27,83.5,,,,,
181,3,2018-03-26T18:09:09.028Z,1332.0,36.0,,89.0,19.0,14.22,83.5,,,,,
182,3,2018-03-26T18:09:10.048Z,1377.0,37.0,,89.0,20.0,13.08,83.5,,,,,
183,3,2018-03-26T18:09:11.040Z,1387.0,38.0,,89.0,20.0,11.8,83.5,,,,,
184,3,2018-03-26T18:09:12.029Z,1353.0,36.0,,89.0,20.0,13.02,83.5,,,,,
185,3,2018-03-26T18:09:13.078Z,1311.0,35.0,,89.0,23.0,22.05,83.5,,,,,
186,3,2018-03-26T18:09:14.038Z,1276.0,34.0,,89.0,22.0,21.22,83.5,,,,,
187,3,2018-03-26T18:09:15.029Z,1240.0,33.0,,89.0,22.0,20.72,83.5,,,,,
188,3,2018-03-26T18:09:16.078Z,1173.0,32.0,,89.0,22.0,19.83,83.5,,,,,
189,3,2018-03-26T18:09:17.008Z,1143.0,30.0,,89.0,21.0,19.13,83.5,,,,,
190,3,2018-03-26T18:09:18.029Z,1127.0,30.0,,89.0,20.0,8.72,83.5,,,,,
191,3,2018-03-26T18:09:19.078Z,1127.0,30.0,,89.0,16.0,8.97,83.5,,,,,
192,3,2018-03-26T18:09:20.068Z,1190.0,31.0,,89.0,17.0,9.86,83.5,,,,,
193,3,2018-03-26T18:09:21.028Z,1195.0,33.0,,89.0,18.0,11.94,83.5,,,,,
194,3,2018-03-26T18:09:22.048Z,1216.0,32.0,,89.0,18.0,10.44,83.5,,,,,
195,3,2018-03-26T18:09:23.069Z,1213.0,32.0,,89.0,19.0,10.77,83.5,,,,,
196,3,2018-03-26T18:09:24.029Z,1247.0,33.0,,89.0,19.0,11.11,83.5,,,,,
197,3,2018-03-26T18:09:25.079Z,1324.0,35.0,,89.0,20.0,11.44,83.5,,,,,
198,3,2018-03-26T18:09:26.039Z,1359.0,37.0,,89.0,21.0,11.22,83.5,,,,,
199,3,2018-03-26T18:09:27.028Z,1367.0,36.0,,89.0,19.0,10.94,83.5,,,,,
200,3,2018-03-26T18:09:28.048Z,1387.0,37.0,,89.0,20.0,12.47,83.5,,,,,
201,3,2018-03-26T18:09:29.069Z,1432.0,39.0,,89.0,20.0,11.27,83.5,,,,,
202,3,2018-03-26T18:09:30.088Z,1401.0,38.0,,89.0,20.0,12.49,83.5,,,,,
203,3,2018-03-26T18:09:31.018Z,1398.0,37.0,,89.0,20.0,19.52,83.5,,,,,
204,3,2018-03-26T18:09:32.068Z,1358.0,36.0,,89.0,23.0,22.86,83.5,,,,,
205,3,2018-03-26T18:09:33.088Z,1324.0,35.0,,89.0,23.0,22.27,83.5,,,,,
206,3,2018-03-26T18:09:34.018Z,1255.0,34.0,,89.0,22.0,21.52,83.5,,,,,
207,3,2018-03-26T18:09:35.069Z,1220.0,33.0,,89.0,22.0,19.94,83.5,,,,,
208,3,2018-03-26T18:09:36.030Z,1188.0,32.0,,89.0,22.0,19.52,83.5,,,,,
209,3,2018-03-26T18:09:37.078Z,1156.0,31.0,,89.0,21.0,18.66,83.5,,,,,
210,3,2018-03-26T18:09:38.068Z,1087.0,30.0,,90.0,21.0,18.05,83.5,,,,,
211,3,2018-03-26T18:09:39.088Z,1055.0,28.0,,90.0,21.0,16.61,83.5,,,,,
212,3,2018-03-26T18:09:40.018Z,1025.0,27.0,,90.0,20.0,16.19,83.5,,,,,
213,3,2018-03-26T18:09:41.068Z,992.0,26.0,,90.0,20.0,15.77,83.5,,,,,
214,3,2018-03-26T18:09:42.030Z,882.0,26.0,,90.0,20.0,14.86,83.5,,,,,
215,3,2018-03-26T18:09:43.018Z,968.0,25.0,,89.0,14.0,10.22,83.5,,,,,
216,3,2018-03-26T18:09:44.068Z,1360.0,23.0,,89.0,17.0,12.99,83.5,,,,,
217,3,2018-03-26T18:09:45.059Z,1457.0,23.0,,89.0,21.0,18.38,83.5,,,,,
218,3,2018-03-26T18:09:46.018Z,1576.0,27.0,,89.0,21.0,16.99,83.5,,,,,
219,3,2018-03-26T18:09:47.068Z,1649.0,28.0,,89.0,21.0,15.41,83.5,,,,,
220,3,2018-03-26T18:09:48.089Z,1534.0,27.0,,89.0,21.0,14.24,83.5,,,,,
221,3,2018-03-26T18:09:49.018Z,1509.0,26.0,,89.0,23.0,27.08,83.5,,,,,
222,3,2018-03-26T18:09:50.068Z,1546.0,26.0,,89.0,21.0,14.16,83.5,,,,,
223,3,2018-03-26T18:09:51.030Z,1632.0,28.0,,89.0,20.0,23.49,83.5,,,,,
224,3,2018-03-26T18:09:52.018Z,1981.0,35.0,,89.0,24.0,33.11,83.5,,,,,
225,3,2018-03-26T18:09:53.069Z,1373.0,35.0,,89.0,23.0,16.24,80.8,,,,,
226,3,2018-03-26T18:09:54.030Z,1327.0,35.0,,89.0,20.0,12.47,83.5,,,,,
227,3,2018-03-26T18:09:55.018Z,1393.0,37.0,,89.0,19.0,11.3,83.5,,,,,
228,3,2018-03-26T18:09:56.068Z,1408.0,38.0,,89.0,19.0,10.88,83.5,,,,,
229,3,2018-03-26T18:09:57.058Z,1425.0,38.0,,89.0,19.0,12.91,83.5,,,,,
230,3,2018-03-26T18:09:58.048Z,1451.0,39.0,,89.0,19.0,12.24,83.5,,,,,
231,3,2018-03-26T18:09:59.038Z,1479.0,40.0,,89.0,19.0,12.83,83.5,,,,,
232,3,2018-03-26T18:10:00.059Z,1448.0,40.0,,89.0,20.0,13.47,83.5,,,,,
233,3,2018-03-26T18:10:01.048Z,1408.0,38.0,,89.0,20.0,22.16,83.5,,,,,
234,3,2018-03-26T18:10:02.038Z,1372.0,37.0,,89.0,23.0,24.02,83.5,,,,,
235,3,2018-03-26T18:10:03.028Z,1330.0,36.0,,89.0,22.0,22.52,83.5,,,,,
236,3,2018-03-26T18:10:04.018Z,1290.0,35.0,,89.0,22.0,21.52,83.5,,,,,
237,3,2018-03-26T18:10:05.008Z,1253.0,33.0,,89.0,22.0,20.88,83.5,,,,,
238,3,2018-03-26T18:10:06.088Z,1221.0,33.0,,89.0,21.0,8.49,83.5,,,,,
239,3,2018-03-26T18:10:07.078Z,1192.0,32.0,,89.0,18.0,11.16,83.5,,,,,
240,3,2018-03-26T18:10:08.008Z,1172.0,31.0,,89.0,18.0,10.38,83.5,,,,,
241,3,2018-03-26T18:10:09.028Z,1140.0,30.0,,89.0,18.0,9.94,83.5,,,,,
242,3,2018-03-26T18:10:10.048Z,1107.0,29.0,,89.0,18.0,14.83,83.5,,,,,
243,3,2018-03-26T18:10:11.008Z,1119.0,29.0,,89.0,20.0,8.38,83.5,,,,,
244,3,2018-03-26T18:10:12.088Z,1126.0,30.0,,89.0,17.0,8.52,83.5,,,,,
245,3,2018-03-26T18:10:13.078Z,1103.0,29.0,,89.0,18.0,10.83,83.5,,,,,
246,3,2018-03-26T18:10:14.008Z,1089.0,29.0,,89.0,20.0,11.86,83.5,,,,,
247,3,2018-03-26T18:10:15.028Z,1091.0,29.0,,89.0,19.0,9.16,83.5,,,,,
248,3,2018-03-26T18:10:16.048Z,1123.0,30.0,,89.0,17.0,10.27,83.5,,,,,
249,3,2018-03-26T18:10:17.068Z,1157.0,31.0,,89.0,19.0,8.58,83.5,,,,,
250,3,2018-03-26T18:10:18.029Z,1172.0,31.0,,89.0,18.0,9.05,83.5,,,,,
251,3,2018-03-26T18:10:19.018Z,1203.0,32.0,,89.0,18.0,10.52,83.5,,,,,
252,3,2018-03-26T18:10:20.008Z,1242.0,33.0,,89.0,19.0,9.58,83.5,,,,,
253,3,2018-03-26T18:10:21.088Z,1217.0,33.0,,89.0,19.0,10.77,83.5,,,,,
254,3,2018-03-26T18:10:22.079Z,1222.0,33.0,,89.0,20.0,10.77,83.5,,,,,
255,3,2018-03-26T18:10:23.069Z,1244.0,33.0,,89.0,19.0,10.36,83.5,,,,,
256,3,2018-03-26T18:10:24.059Z,1236.0,33.0,,89.0,19.0,9.8,83.5,,,,,
257,3,2018-03-26T18:10:25.048Z,1215.0,32.0,,89.0,20.0,10.05,83.5,,,,,
258,3,2018-03-26T18:10:26.038Z,1174.0,31.0,,89.0,21.0,18.88,83.5,,,,,
259,3,2018-03-26T18:10:27.088Z,1133.0,30.0,,89.0,23.0,18.38,83.5,,,,,
260,3,2018-03-26T18:10:28.078Z,1111.0,30.0,,89.0,22.0,7.99,83.5,,,,,
261,3,2018-03-26T18:10:29.069Z,1111.0,29.0,,89.0,18.0,9.02,83.5,,,,,
262,3,2018-03-26T18:10:30.058Z,1119.0,30.0,,89.0,18.0,8.91,83.5,,,,,
263,3,2018-03-26T18:10:31.048Z,1094.0,30.0,,89.0,17.0,9.13,83.5,,,,,
264,3,2018-03-26T18:10:32.038Z,1052.0,28.0,,89.0,18.0,15.72,83.5,,,,,
265,4,2017-08-15T09:30:00.000Z,860.0,0.0,35.686275,79.0,36.0,,18.431372,-3.90625,-3.90625,0.0,,
266,4,2017-08-15T09:30:01.000Z,860.0,0.0,35.686275,79.0,36.0,,18.431372,-3.90625,-3.90625,0.0,,
267,4,2017-08-15T09:30:02.000Z,860.0,0.0,35.686275,79.0,36.0,,18.431372,-3.90625,-3.90625,0.0,,
268,4,2017-08-15T09:30:03.000Z,863.25,0.0,35.294117,79.0,36.0,,18.431372,-3.90625,-3.90625,0.0,,
269,4,2017-08-15T09:30:04.000Z,863.25,0.0,35.294117,79.0,36.0,,18.431372,-3.90625,-3.90625,0.0,,
270,4,2017-08-15T09:30:05.000Z,863.25,0.0,35.294117,79.0,36.0,,18.431372,-3.90625,-3.90625,0.0,,
271,4,2017-08-15T09:30:06.000Z,863.25,0.0,35.294117,80.0,36.0,,18.431372,-3.125,-3.90625,0.0,,
272,4,2017-08-15T09:30:07.000Z,855.25,0.0,35.294117,80.0,36.0,,18.431372,-3.125,-3.90625,0.0,,
273,4,2017-08-15T09:30:08.000Z,855.25,0.0,35.294117,80.0,36.0,,18.431372,-3.125,-3.90625,0.0,,
274,4,2017-08-15T09:30:09.000Z,855.25,0.0,35.294117,80.0,36.0,,18.431372,-3.125,-3.90625,0.0,,
275,4,2017-08-15T09:30:10.000Z,858.5,0.0,35.294117,80.0,36.0,,18.431372,-2.34375,-3.90625,0.0,,
276,4,2017-08-15T09:30:11.000Z,858.5,0.0,35.294117,80.0,36.0,,18.431372,-2.34375,-3.90625,0.0,,
277,4,2017-08-15T09:30:12.000Z,858.5,0.0,35.294117,80.0,36.0,,18.431372,-2.34375,-3.90625,0.0,,
278,4,2017-08-15T09:30:13.000Z,858.5,0.0,35.294117,80.0,36.0,,18.431372,-2.34375,-3.90625,0.0,,
279,4,2017-08-15T09:30:14.000Z,856.25,0.0,35.294117,80.0,36.0,,18.039215,-0.78125,-3.90625,0.0,,
280,4,2017-08-15T09:30:15.000Z,856.25,0.0,35.294117,80.0,36.0,,18.039215,-0.78125,-3.90625,0.0,,
281,4,2017-08-15T09:30:16.000Z,856.25,0.0,35.294117,80.0,36.0,,18.039215,-0.78125,-3.90625,0.0,,
282,4,2017-08-15T09:30:17.000Z,856.25,0.0,35.686275,80.0,36.0,,18.039215,-0.78125,-3.90625,0.0,,
283,4,2017-08-15T09:30:18.000Z,854.5,0.0,35.686275,80.0,36.0,,18.039215,-0.78125,-3.90625,-2.0,,
284,4,2017-08-15T09:30:19.000Z,854.5,0.0,35.686275,80.0,36.0,,18.039215,-0.78125,-3.90625,-2.0,,
